   0.2160716E-01   0.8587392E-04
   0.2161874E-01   0.1860683E-03
   0.2163031E-01   0.3436729E-03
   0.2164189E-01   0.5850338E-03
   0.2165347E-01   0.9434321E-03
   0.2166505E-01   0.1503634E-02
   0.2167662E-01   0.2241778E-02
   0.2168820E-01   0.3246166E-02
   0.2169978E-01   0.4522148E-02
   0.2171135E-01   0.6121986E-02
   0.2172293E-01   0.8178684E-02
   0.2173451E-01   0.1065535E-01
   0.2174609E-01   0.1370419E-01
   0.2175766E-01   0.1738732E-01
   0.2176924E-01   0.2163153E-01
   0.2178082E-01   0.2650589E-01
   0.2179240E-01   0.3209166E-01
   0.2180397E-01   0.3825471E-01
   0.2181555E-01   0.4491385E-01
   0.2182713E-01   0.5238792E-01
   0.2183870E-01   0.6079105E-01
   0.2185028E-01   0.7029526E-01
   0.2186186E-01   0.8148089E-01
   0.2187344E-01   0.9451202E-01
   0.2188501E-01   0.1099285E+00
   0.2189659E-01   0.1277364E+00
   0.2190817E-01   0.1481757E+00
   0.2191974E-01   0.1707805E+00
   0.2193132E-01   0.1957000E+00
   0.2194290E-01   0.2227150E+00
   0.2195448E-01   0.2514429E+00
   0.2196605E-01   0.2820136E+00
   0.2197763E-01   0.3141753E+00
   0.2198921E-01   0.3472771E+00
   0.2200079E-01   0.3814940E+00
   0.2201236E-01   0.4167127E+00
   0.2202394E-01   0.4528342E+00
   0.2203552E-01   0.4897743E+00
   0.2204709E-01   0.5272898E+00
   0.2205867E-01   0.5651196E+00
   0.2207025E-01   0.6037921E+00
   0.2208183E-01   0.6430677E+00
   0.2209340E-01   0.6823626E+00
   0.2210498E-01   0.7220867E+00
   0.2211656E-01   0.7610323E+00
   0.2212813E-01   0.7987422E+00
   0.2213971E-01   0.8345323E+00
   0.2215129E-01   0.8675661E+00
   0.2216287E-01   0.8971832E+00
   0.2217444E-01   0.9234322E+00
   0.2218602E-01   0.9463990E+00
   0.2219760E-01   0.9655922E+00
   0.2220918E-01   0.9804434E+00
   0.2222075E-01   0.9915913E+00
   0.2223233E-01   0.9982046E+00
   0.2224391E-01   0.9997301E+00
   0.2225548E-01   0.9956595E+00
   0.2226706E-01   0.9845102E+00
   0.2227864E-01   0.9665426E+00
   0.2229022E-01   0.9416063E+00
   0.2230179E-01   0.9094066E+00
   0.2231337E-01   0.8721007E+00
   0.2232495E-01   0.8306157E+00
   0.2233652E-01   0.7869274E+00
   0.2234810E-01   0.7417894E+00
   0.2235968E-01   0.6964748E+00
   0.2237126E-01   0.6515687E+00
   0.2238283E-01   0.6073426E+00
   0.2239441E-01   0.5637476E+00
   0.2240599E-01   0.5212356E+00
   0.2241757E-01   0.4795945E+00
   0.2242914E-01   0.4391903E+00
   0.2244072E-01   0.3999474E+00
   0.2245230E-01   0.3620249E+00
   0.2246387E-01   0.3258689E+00
   0.2247545E-01   0.2914199E+00
   0.2248703E-01   0.2589192E+00
   0.2249861E-01   0.2285555E+00
   0.2251018E-01   0.2002046E+00
   0.2252176E-01   0.1741715E+00
   0.2253334E-01   0.1506643E+00
   0.2254491E-01   0.1302744E+00
   0.2255649E-01   0.1124880E+00
   0.2256807E-01   0.9729871E-01
   0.2257965E-01   0.8450148E-01
   0.2259122E-01   0.7383422E-01
   0.2260280E-01   0.6452149E-01
   0.2261438E-01   0.5634486E-01
   0.2262596E-01   0.4907812E-01
   0.2263753E-01   0.4241596E-01
   0.2264911E-01   0.3620741E-01
   0.2266069E-01   0.3040262E-01
   0.2267226E-01   0.2502496E-01
   0.2268384E-01   0.2026972E-01
   0.2269542E-01   0.1608424E-01
   0.2270700E-01   0.1253494E-01
   0.2271857E-01   0.9539834E-02
   0.2273015E-01   0.7191028E-02
   0.2274173E-01   0.5274589E-02
   0.2275330E-01   0.3807560E-02
   0.2276488E-01   0.2687365E-02
   0.2277646E-01   0.1890218E-02
   0.2278804E-01   0.1374209E-02
   0.2279961E-01   0.1009540E-02
   0.2281119E-01   0.7794402E-03
   0.2282277E-01   0.6217913E-03
   0.2283435E-01   0.5276842E-03
   0.2284592E-01   0.4290899E-03
   0.2285750E-01   0.3410043E-03
   0.2286908E-01   0.2580385E-03
   0.2288065E-01   0.1844522E-03
   0.2289223E-01   0.1227535E-03
   0.2290381E-01   0.7578477E-04
   0.2291539E-01   0.4089705E-04
   0.2292696E-01   0.1531677E-04
   0.2293854E-01   0.7308820E-05
