   0.8615906E-02   0.1000000E+01
   0.1075405E+00   0.9836583E+00
   0.2064651E+00   0.9678884E+00
   0.3053897E+00   0.9526926E+00
   0.4043143E+00   0.9383483E+00
   0.5032389E+00   0.9243446E+00
   0.6021635E+00   0.9104953E+00
   0.7010881E+00   0.8967123E+00
   0.8000127E+00   0.8829767E+00
   0.8989373E+00   0.8693237E+00
   0.9978619E+00   0.8557160E+00
   0.1096786E+01   0.8422403E+00
   0.1195711E+01   0.8288235E+00
   0.1294636E+01   0.8157055E+00
   0.1393560E+01   0.8027179E+00
   0.1492485E+01   0.7898027E+00
   0.1591409E+01   0.7773270E+00
   0.1690334E+01   0.7651094E+00
   0.1789259E+01   0.7533587E+00
   0.1888183E+01   0.7417721E+00
   0.1987108E+01   0.7305311E+00
   0.2086032E+01   0.7194261E+00
   0.2184957E+01   0.7085107E+00
   0.2283882E+01   0.6976973E+00
   0.2382806E+01   0.6868295E+00
   0.2481731E+01   0.6762010E+00
   0.2580655E+01   0.6656157E+00
   0.2679580E+01   0.6548082E+00
   0.2778505E+01   0.6440387E+00
   0.2877429E+01   0.6333020E+00
   0.2976354E+01   0.6224288E+00
   0.3075278E+01   0.6113396E+00
   0.3174203E+01   0.6003168E+00
   0.3273128E+01   0.5892618E+00
   0.3372052E+01   0.5781787E+00
   0.3470977E+01   0.5670418E+00
   0.3569901E+01   0.5558654E+00
   0.3668826E+01   0.5444430E+00
   0.3767751E+01   0.5328769E+00
   0.3866675E+01   0.5212624E+00
   0.3965600E+01   0.5096666E+00
   0.4064524E+01   0.4979158E+00
   0.4163449E+01   0.4862777E+00
   0.4262373E+01   0.4747101E+00
   0.4361298E+01   0.4629999E+00
   0.4460223E+01   0.4513394E+00
   0.4559147E+01   0.4395234E+00
   0.4658072E+01   0.4276247E+00
   0.4756996E+01   0.4155982E+00
   0.4855921E+01   0.4036257E+00
   0.4954846E+01   0.3917195E+00
   0.5053770E+01   0.3798516E+00
   0.5152695E+01   0.3683260E+00
   0.5251619E+01   0.3569784E+00
   0.5350544E+01   0.3458277E+00
   0.5449469E+01   0.3351678E+00
   0.5548393E+01   0.3248271E+00
   0.5647318E+01   0.3147376E+00
   0.5746242E+01   0.3050045E+00
   0.5845167E+01   0.2957582E+00
   0.5944092E+01   0.2867513E+00
   0.6043016E+01   0.2779439E+00
   0.6141941E+01   0.2693396E+00
   0.6240865E+01   0.2611465E+00
   0.6339790E+01   0.2532322E+00
   0.6438715E+01   0.2452389E+00
   0.6537639E+01   0.2373025E+00
   0.6636564E+01   0.2297817E+00
   0.6735488E+01   0.2223557E+00
   0.6834413E+01   0.2149023E+00
   0.6933338E+01   0.2075340E+00
   0.7032262E+01   0.2003497E+00
   0.7131187E+01   0.1931681E+00
   0.7230111E+01   0.1862257E+00
   0.7329036E+01   0.1794519E+00
   0.7427961E+01   0.1727645E+00
   0.7526885E+01   0.1662583E+00
   0.7625810E+01   0.1599237E+00
   0.7724734E+01   0.1537838E+00
   0.7823659E+01   0.1477463E+00
   0.7922584E+01   0.1418904E+00
   0.8021508E+01   0.1360999E+00
   0.8120433E+01   0.1303746E+00
   0.8219357E+01   0.1248085E+00
   0.8318282E+01   0.1193348E+00
   0.8417206E+01   0.1139852E+00
   0.8516131E+01   0.1088145E+00
   0.8615056E+01   0.1035804E+00
   0.8713980E+01   0.9856537E-01
   0.8812905E+01   0.9357577E-01
   0.8911829E+01   0.8873669E-01
   0.9010754E+01   0.8399974E-01
   0.9109679E+01   0.7939241E-01
   0.9208603E+01   0.7489744E-01
   0.9307528E+01   0.7054064E-01
   0.9406452E+01   0.6629069E-01
   0.9505377E+01   0.6211104E-01
   0.9604302E+01   0.5806515E-01
   0.9703226E+01   0.5418979E-01
   0.9802151E+01   0.5038921E-01
   0.9901075E+01   0.4670753E-01
   0.1000000E+02   0.4307501E-01
